UserID,Age,Gender,Height (cm),Weight (kg),BMI,Chest (cm),Waist (cm),Hip (cm),Body Type,Base Size,Previous Purchase,Brand,Item Purchased,Size Purchased,Fit Feedback,Return/Exchange Status,Reason for Return/Exchange,Season,Purchase Location,Loyalty Status,Promotion Influence,Region,Timestamp
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Levi's,Skirt,XXL,Too Large,Kept,,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-09-24 01:33
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Uniqlo,Jeans,XXL,Too Small,Returned,Changed Mind,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-02-13 00:26
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Levi's,Sweater,XXL,Too Small,Exchanged,Other,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-12-05 04:19
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Zara,Sweater,XXL,Too Small,Kept,,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-03-12 13:11
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Nike,T-shirt,XXL,Too Small,Exchanged,Other,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-06-03 14:46
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Zara,Shorts,XXL,Too Small,Exchanged,Fit Issue,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-09-17 18:22
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,H&M,Skirt,XXL,Too Large,Returned,Other,Spring,In-Store,Frequent Buyer,Yes,Australia,2023-06-02 16:23
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Zara,Skirt,XXL,Too Large,Returned,Fit Issue,Spring,In-Store,Frequent Buyer,Yes,Australia,2023-11-18 14:00
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Nike,T-shirt,XXL,Too Large,Returned,Fit Issue,Spring,In-Store,Frequent Buyer,Yes,Australia,2022-10-22 13:18
User001,70,Non-Binary,189,100,27.99,130,98,114,Petite,XXL,True,Levi's,Skirt,XXL,Fit Well,Exchanged,Fit Issue,Spring,In-Store,Frequent Buyer,Yes,Australia,2023-09-15 19:01
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Nike,Skirt,M,Too Large,Exchanged,Fit Issue,Winter,In-Store,Frequent Buyer,Yes,Africa,2023-09-18 21:26
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Levi's,T-shirt,L,Too Large,Exchanged,Quality Issue,Winter,In-Store,Frequent Buyer,Yes,Africa,2022-06-01 03:40
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Levi's,Jacket,L,Too Small,Returned,Other,Winter,In-Store,Frequent Buyer,Yes,Africa,2023-05-07 15:20
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Nike,Jacket,M,Fit Well,Kept,,Winter,In-Store,Frequent Buyer,Yes,Africa,2022-08-30 17:45
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Zara,Skirt,M,Too Small,Exchanged,Changed Mind,Winter,In-Store,Frequent Buyer,Yes,Africa,2023-01-11 03:35
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Nike,Shorts,M,Too Small,Returned,Fit Issue,Winter,In-Store,Frequent Buyer,Yes,Africa,2023-08-03 01:27
User002,20,Non-Binary,156,105,43.15,98,102,116,Athletic,L,False,Zara,Shorts,M,Too Small,Exchanged,Quality Issue,Winter,In-Store,Frequent Buyer,Yes,Africa,2023-06-27 10:07
